Lokacija;Broj mikrolokacija;Godina;;
Ul. Grada Vukovara - Av. Marina Držiæa JZ;1;2016;45.80094454693840;15.995272994041400
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
