Naziv poslovnog subjekta,Mjesto,NKD2007,Opis šifre djelatnosti,Broj zaposlenih (sati rada),Dobit/gubitak razdoblja,Kapital i rezerve,Ukupan prihod
LASER LINE D.O.O.,UMAG,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",35,2.617.518,2.793.983,14.046.461
SV GROUP D.O.O.,ZAGREB,6201,Računalno programiranje,37,2.594.364,9.333.224,42.991.674
GEMICRO D.O.O.,ZAGREB,6201,Računalno programiranje,10,2.527.587,6.106.034,6.941.865
ANALYTICOM D.O.O.,SPLIT,6201,Računalno programiranje,20,2.514.312,8.514.312,12.408.515
HR PRO D.O.O.,ZAGREB,6201,Računalno programiranje,48,2.511.671,10.132.612,18.375.439
SEKOM D.O.O.,ZAGREB,6201,Računalno programiranje,15,2.509.264,10.357.296,6.783.438
ITSOFT D.O.O.,JASTREBARSKO,6201,Računalno programiranje,29,2.501.676,10.793.917,31.812.787
NO42 D.O.O.,MEDVEŠČAK,6201,Računalno programiranje,14,2.472.535,3.953.908,6.401.374
NEXGEN D.O.O.,SRAČINEC,6201,Računalno programiranje,10,2.464.346,3.508.984,8.607.255
SARTURA D.O.O.,ZAGREB,6201,Računalno programiranje,14,2.455.020,2.663.760,6.338.791
ALK D.O.O.,KOSTRENA,6201,Računalno programiranje,1,2.393.306,4.697.213,4.709.770
AG04 INNOVATIVE SOLUTIONS D.O.O.,ZAGREB,6201,Računalno programiranje,17,2.388.660,2.448.660,6.946.201
NETCOM D.O.O.,RIJEKA,6201,Računalno programiranje,28,2.301.875,2.332.175,15.864.369
RIS D.O.O.,KASTAV,6201,Računalno programiranje,28,2.290.423,6.008.770,9.350.633
MODERNE KOMUNIKACIJE D.O.O.,ZAGREB,6120,Djelatnosti bežične telekomunikacije,78,2.250.321,5.258.702,13.012.385
KONTO D.O.O.,POŽEGA,6201,Računalno programiranje,21,2.231.263,5.951.069,8.840.887
PROTOK D.O.O.,ZAGREB,6201,Računalno programiranje,11,2.225.881,7.644.906,5.188.752
KOD 22 D.O.O.,SPLIT,6201,Računalno programiranje,1,2.165.659,2.185.659,2.856.023
EVISION INFORMACIJSKI SUSTAVI D.O.O.,ZAGREB,6201,Računalno programiranje,14,2.155.319,4.790.893,12.190.964
LIBUSOFT D.O.O.,VELIKA GORICA,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",5,2.148.979,2.171.779,4.186.917
IRATA RAČUNALA D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,5,2.144.021,8.043.786,2.965.853
CLAVOIP D.O.O.,RIJEKA,6190,Ostale telekomunikacijske djelatnosti,1,2.137.019,2.157.447,337.145.173
POSLOVNA INTELIGENCIJA D.O.O.,ZAGREB,6201,Računalno programiranje,91,2.135.772,11.043.515,38.279.820
CLOUDSENSE D.O.O.,ZAGREB,6201,Računalno programiranje,105,2.114.432,4.884.563,55.845.152
4TH DIMENSION D.O.O.,ZAGREB,6201,Računalno programiranje,16,2.104.625,3.775.061,7.937.442
POS SISTEMI D.O.O.,ZAGREB,6203,Upravljanje računalnom opremom i sustavom,19,2.086.108,2.206.108,8.233.247
