Naziv poslovnog subjekta,Mjesto,NKD2007,Opis šifre djelatnosti,Broj zaposlenih (sati rada),Dobit/gubitak razdoblja,Kapital i rezerve,Ukupan prihod
FOTON D.O.O.,PREGRADA,6201,Računalno programiranje,3,258.775,609.498,1.373.157
STUDIO DJETELINA D.O.O.,ZAGREB,6201,Računalno programiranje,13,255.664,547.084,3.579.254
PERPETUUM MOBILE D.O.O.,ZAGREB,6201,Računalno programiranje,25,254.329,2.387.354,39.319.592
PAKOM D.O.O.,PULA,6201,Računalno programiranje,9,253.435,677.041,2.524.804
ISTRACOM D.O.O.,PULA,6110,Djelatnosti žičane telekomunikacije,7,252.518,962.621,4.833.347
CAIR CENTAR D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,2,251.346,784.274,1.230.182
HARD JURA D.O.O.,BJELOVAR,6201,Računalno programiranje,10,246.679,943.294,8.848.152
EMIR REDŽEPOVIĆ,ZAGREB,6190,Ostale telekomunikacijske djelatnosti,1,245.442,695.937,1.261.767
CENTRUS TIM D.O.O.,ZAGREB,6120,Djelatnosti bežične telekomunikacije,37,242.523,1.194.585,14.744.428
EDC D.O.O.,ZAGREB,6201,Računalno programiranje,10,241.98,2.684.644,6.732.274
SOAR D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,20,240.885,1.064.762,4.062.362
JADRIJA D.O.O.,ZAGREB,6201,Računalno programiranje,5,240.227,1.216.864,5.089.225
SIGNUM TELEKOMUNIKACIJE D.O.O.,ZAGREB,6190,Ostale telekomunikacijske djelatnosti,8,240.119,1.468.370,2.162.319
CINNAMON D.O.O,ZAGREB,6201,Računalno programiranje,12,239.853,573.572,1.824.200
SOFTWARE AUTOMATION CONCEPTS D.O.O.,JALKOVEC,6201,Računalno programiranje,11,239.641,1.006.525,4.364.186
SENTER GRUPA D.O.O.,ZAGREB,6190,Ostale telekomunikacijske djelatnosti,0,237.277,2.357.119,2.312.508
UNIPLUS D.O.O.,ČAKOVEC,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,10,234.314,1.177.228,4.136.932
IPC D.O.O.,ČAKOVEC,6201,Računalno programiranje,13,231.677,755.443,24.029.395
CA INTERNET D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,4,230.889,503.253,2.771.298
CENTAR MREŽNIH TEHNOLOGIJA D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,1,229.729,423.896,1.468.660
BRUNCIN D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,6,227.478,651.574,2.989.001
MIB SIGURNOSNI INFORMATIČKI SUSTAVI D.O.O.,PETRINJA,6202,Savjetovanje u vezi s računalima,5,223.814,1.983.575,5.816.123
SP SISTEMI D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,12,220.319,1.113.813,18.523.944
ANTENA PROJEKT D.O.O.,KUTINA,6130,Djelatnosti satelitske telekomunikacije,8,214.047,875.855,2.281.220
HEXIS J.D.O.O.,RIJEKA,6201,Računalno programiranje,15,213.906,687.972,3.172.544
MILENIJ D.O.O.,ČAKOVEC,6201,Računalno programiranje,2,213.692,760.632,1.365.134
VIA TEL D.O.O.,ZAGREB,6120,Djelatnosti bežične telekomunikacije,7,212.53,9.969.179,5.319.189
M-ROS D.O.O.,ZAGREB,6201,Računalno programiranje,2,210.279,2.025.537,1.959.235
FIDENS ALARM D.O.O.,ZAGREB,6201,Računalno programiranje,7,206.641,524.478,2.004.833
X MEDIA D.O.O.,IVANEC,6201,Računalno programiranje,8,204.687,1.238.377,1.228.271
RAGUSA TELEKOM D.O.O.,DUBROVNIK,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,4,201.797,2.443.469,2.579.080
MITECH SZSTEMS SEE D.O.O.,ZAGREB,6201,Računalno programiranje,5,200.295,718.344,6.152.548
VITAM AGERE D.O.O.,SPLIT,6201,Računalno programiranje,3,199.878,810.349,4.273.956
NET PLUS D.O.O.,VARAŽDIN,6201,Računalno programiranje,6,197.796,827.38,1.412.076
DIGITAL MEDIA D.O.O.,ŠENKOVEC,6201,Računalno programiranje,3,195.328,598.215,2.000.338
TEHNO SISTEM D.O.O.,ZADAR,6202,Savjetovanje u vezi s računalima,5,193.034,447.028,2.235.733
DATABOX D.O.O.,ZAGREB,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",8,192.595,662.722,5.614.435
FORMEL D.O.O.,ZAGREB,6201,Računalno programiranje,2,192.483,2.975.267,2.215.727
C.T.S. D.O.O.,RIJEKA,6201,Računalno programiranje,4,189.703,984.054,2.338.660
MIT SOFTWARE D.O.O.,ZAGREB,6201,Računalno programiranje,14,188.735,1.538.342,4.850.689
SKILJA GMBH - PODRUŽNICA U REPUBLICI HRVATSKOJ,NOVIGRAD,6201,Računalno programiranje,8,188.39,750.814,2.684.074
ORBIS D.O.O.,VARAŽDIN,6201,Računalno programiranje,5,186.85,2.336.857,2.945.724
GEEK PROCESS D.O.O.,MAKARSKA,6202,Savjetovanje u vezi s računalima,4,186.214,636.031,2.689.542
INTER SOLUTIO D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,15,182.068,491.7,9.118.325
TELEMONT D.O.O.,DEKANOVEC,6110,Djelatnosti žičane telekomunikacije,17,182.054,1.249.422,1.675.773
TELEMONT D.O.O.,DEKANOVEC,6110,Djelatnosti žičane telekomunikacije,17,182.054,1.249.422,3.506.822
AETHER-SIGNUM D.O.O.,VRBOVEC,6201,Računalno programiranje,4,181.99,433.78,1.488.676
NUCLEUS D.O.O.,ZAGREB,6201,Računalno programiranje,10,181.851,3.727.978,4.505.639
VIDI-TO D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,9,179.834,1.840.226,13.702.283
BUNCH D.O.O.,ZAGREB,6201,Računalno programiranje,3,179.744,694.696,2.323.020
NITELD.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,14,179.363,675.581,6.644.242
OPSTANAK D.O.O.,SPLIT,6201,Računalno programiranje,9,175.555,579.128,6.520.419
TELEOPTIKA D.O.O.,"VUKOVAR,32010",6190,Ostale telekomunikacijske djelatnosti,14,175.082,1.708.660,2.251.142
MEĐUNARODNA AGENCIJA ZA RAZVOJ D.O.O.,VARAŽDIN,6201,Računalno programiranje,7,171.867,446.596,1.881.876
MALA LUNA D.O.O.,SOLIN,6190,Ostale telekomunikacijske djelatnosti,12,171.414,2.046.220,4.186.809
GDI GRUPA D.O.O.,ZAGREB,6201,Računalno programiranje,1,170.391,11.022.394,3.905.940
TEHNIČAR-COPYSERVIS D.O.O.,ZAGREB,6203,Upravljanje računalnom opremom i sustavom,30,169.564,3.797.262,11.287.723
SISNET D.O.O.,NOVI ZAGREB,6202,Savjetovanje u vezi s računalima,6,168.137,690.423,4.275.878
PRIOR INŽENJERING D.O.O.,ZAGREB,6201,Računalno programiranje,12,167.149,2.332.784,9.248.576
STOTZ MEHATRONIKA D.O.O.,SVETA NEDELJA,6201,Računalno programiranje,5,164.047,2.873.395,4.186.459
JADRO-TRGOVINA D.D.,SOLIN,6203,Upravljanje računalnom opremom i sustavom,2,163.64,7.023.298,3.655.220
SGM INFORMATIKA D.O.O.,SPLIT,6202,Savjetovanje u vezi s računalima,5,162.038,772.745,6.015.845
INFOSIT D.O.O.,POREČ,6201,Računalno programiranje,12,160.777,758.44,4.593.468
COMENG D.O.O.,SOLIN,6201,Računalno programiranje,3,159.863,1.532.655,3.512.888
IMPADDO D.O.O.,MASLENICA,6201,Računalno programiranje,3,159.533,3.283.761,2.288.628
MEDIA RAČUNALA D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,7,158.97,553.427,12.939.765
PROGRAMSKA KUĆA D.O.O.,ZAGREB,6201,Računalno programiranje,6,156.373,590.549,1.507.269
VIVA INFO D.O.O.,ZAGREB,6201,Računalno programiranje,7,155.461,1.337.050,1.779.805
