Naziv poslovnog subjekta,Mjesto,NKD2007,Opis šifre djelatnosti,Broj zaposlenih (sati rada),Dobit/gubitak razdoblja,Kapital i rezerve,Ukupan prihod
CROATEL D.O.O.,ZAGREB,6120,Djelatnosti bežične telekomunikacije,70,10459247,38119246,43220223
INFINUM D.O.O.,KARLOVAC,6201,Računalno programiranje,79,9218265,16483041,31433612
SPAN D.O.O.,ZAGREB,6201,Računalno programiranje,300,8864768,52534005,323442489
MONO D.O.O.,OSIJEK,6201,Računalno programiranje,42,8844595,29158133,21265383
MICROSOFT HRVATSKA D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,53,8476331,28858655,111010642
MICROBLINK D.O.O.,ZAGREB,6201,Računalno programiranje,19,7842634,12557774,18547664
PHOBS D.O.O.,DUBROVNIK,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,21,7590550,7820011,16395296
OMEGA SOFTWARE D.O.O.,ZAGREB,6201,Računalno programiranje,80,6788089,25575127,37716030
MULTICOM D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,54,6617910,26494847,35563442
NORT D.O.O.,ZAGREB,6201,Računalno programiranje,8,6304922,31284444,21058940
ADCON D.O.O.,OSIJEK,6201,Računalno programiranje,29,6225115,10286020,16994801
ENT. SERVICES ZAGREB D.O.O. ZA RAČUNALNE I SRODNE DJELATNOSTI,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,2,6140116,54766116,16295755
DANIELI SYSTEC D.O.O.,LABIN,6201,Računalno programiranje,236,6131209,38115209,123430390
404 D.O.O.,ZAGREB - MAKSIMIR,6201,Računalno programiranje,43,6076582,8984801,40127495
INFOBIP D.O.O.,VODNJAN,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",468,5803178,28798050,139689103
APIS IT D.O.O.,ZAGREB,6201,Računalno programiranje,375,5532958,326933363,209309463
VELIKI ROBOT D.O.O.,ZAGREB,6201,Računalno programiranje,1,5387578,5824217,7157498
ALTIMA D.O.O.,ZAGREB,6201,Računalno programiranje,53,5360022,12520328,46779015
HASHCODE D.O.O.,ZAGREB,6201,Računalno programiranje,16,5234794,7314794,11898271
I.S. D.O.O.,ZAGREB,6201,Računalno programiranje,7,5057307,5177307,9472500
ALTIORA D.O.O.,ZAGREB,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",9,4877363,9082209,24745091
SYSKIT D.O.O.,ZAGREB,6201,Računalno programiranje,27,4861010,8254083,16396737
SPIN D.O.O. OSIJEK,OSIJEK,6201,Računalno programiranje,48,4838217,16813361,18536251
MEDIA-SOFT D.O.O.,ČAKOVEC,6201,Računalno programiranje,20,4714110,15483196,11301770
PET MINUTA D.O.O.,ZAGREB,6201,Računalno programiranje,70,4508457,16211896,40667551
C.M.G.C. D.O.O.,PULA,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,70,4464312,6060657,25510756
INFIGO IS D.O.O.,SAMOBOR,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,23,4389449,10397476,22620436
BILOG D.O.O.,ZAGREB,6201,Računalno programiranje,30,4370442,7491677,16168776
MOCIRA IT D.O.O.,VARAŽDIN,6190,Ostale telekomunikacijske djelatnosti,10,4082396,4152635,7822511
MREŽNE TEHNOLOGIJE VERSO D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,32,4070327,21292265,64019381
IGEA D.O.O.,VARAŽDIN,6201,Računalno programiranje,52,3907529,21107529,24160501
TVC INFO D.O.O.,ZAGREB,6201,Računalno programiranje,18,3877048,7223779,49960406
ZMS INFO D.O.O.,ZAGREB,6201,Računalno programiranje,16,3819575,4768552,13719130
EMOVIS TEHNOLOGIJE D.O.O.,SPLIT,6201,Računalno programiranje,45,3690198,10129414,25331421
AXILIS D.O.O.,BREGANA,6201,Računalno programiranje,17,3567107,4253006,9260352
SOFA IT D.O.O.,"JASTREBARSKO, KLINČA SELA",6201,Računalno programiranje,18,3522598,3894357,9092726
KROBEL PROMET D.O.O.,ĐURMANEC,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,18,3508382,13325617,23422855
ECX.IO CROATIA D.O.O.,VARAŽDIN,6201,Računalno programiranje,23,3430707,5697406,19013009
GDI TECHNOLOGY PLATFORMS D.O.O.,ZAGREB,6201,Računalno programiranje,3,3350725,16340583,20389397
ECCOS-INŽENJERING D.O.O.,ZAGREB,6203,Upravljanje računalnom opremom i sustavom,101,3286959,11387967,79210034
AMPHINICY D.O.O.,ZAGREB,6201,Računalno programiranje,37,3213715,10627007,15604415
TOMSOFT D.O.O.,ZAGREB,6201,Računalno programiranje,25,3210115,10316948,10897141
NEOS D.O.O.,ZAGREB,6201,Računalno programiranje,47,3055491,626556,40961739
NEOS D.O.O.,ZAGREB,6201,Računalno programiranje,47,3055491,5423089,40961739
IT SISTEMI- NOVE TEHNOLOGIJE D.O.O.,SPLIT,6202,Savjetovanje u vezi s računalima,43,3013520,7239659,19561096
ALFA NET D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,14,3009219,24773701,21229839
KOD SAVJETOVANJE D.O.O.,VUKOVAR,6202,Savjetovanje u vezi s računalima,21,2996444,3016445,11693784
IN2 D.O.O.,ZAGREB,6201,Računalno programiranje,361,2966775,23557287,165613788
GLOBALDIZAJN D.O.O.,ZAGREB,6201,Računalno programiranje,27,2940077,5389013,9833479
LIBUSOFT CICOM D.O.O.,ZAGREB,6201,Računalno programiranje,112,2923982,4398450,31686580
INFOART D.O.O.,ZAGREB,6201,Računalno programiranje,38,2911667,5712508,13677732
BULB D.O.O.,ZAGREB,6201,Računalno programiranje,45,2896316,20546925,18134963
INTRALOT ADRIATIC D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,4,2888861,3804460,14055105
RAO D.O.O.,ZAGREB,6201,Računalno programiranje,18,2848173,3848173,9225837
INTEGRACIJA OD DO D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,37,2827444,12005945,19555976
TRIKODER D.O.O.,ZAGREB,6201,Računalno programiranje,49,2805228,7893289,20875472
PLAVI TIM D.O.O.,ZAGREB,6203,Upravljanje računalnom opremom i sustavom,118,2750405,2850405,69071846
EKOBIT D.O.O.,ZAGREB,6201,Računalno programiranje,32,2736009,3408008,18063909
FORTIS PROJEKT D.O.O.,ZAGREB,6110,Djelatnosti žičane telekomunikacije,9,2710079,5758238,21042620
RO.BA.GO. D.O.O.,ZAGREB,6201,Računalno programiranje,6,2663455,6551121,7226211
PRINTEC CROATIA D.O.O.,ZAGREB,6120,Djelatnosti bežične telekomunikacije,71,2639171,27420459,73976767
ETRANET GRUPA D.O.O.,ZAGREB,6201,Računalno programiranje,36,2620701,5620701,24557383
LASER LINE D.O.O.,UMAG,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",35,2617518,2793983,14046461
